anime_id,source_id,source
10001,NULL,NULL
10002,8,Other
10003,8,Other
10004,1,Original
10005,NULL,NULL
10006,8,Other
10007,NULL,NULL
10008,8,Other
10009,NULL,NULL
10010,NULL,NULL
10011,NULL,NULL
10012,NULL,NULL
10013,NULL,NULL
10014,NULL,NULL
10015,NULL,NULL
10016,NULL,NULL
10017,NULL,NULL
10018,1,Original
10019,NULL,NULL
10020,NULL,NULL
10021,1,Original
10022,11,Music
10023,11,Music
10024,1,Original
10025,11,Music
10026,NULL,NULL
10027,NULL,NULL
10028,NULL,NULL
10029,NULL,NULL
10030,NULL,NULL
10031,NULL,NULL
10032,NULL,NULL
10033,NULL,NULL
10034,NULL,NULL
10035,NULL,NULL
10036,NULL,NULL
10037,NULL,NULL
10038,NULL,NULL
10039,NULL,NULL
10040,NULL,NULL
10041,NULL,NULL
10042,NULL,NULL
10043,NULL,NULL
10044,NULL,NULL
10045,NULL,NULL
10046,NULL,NULL
10047,1,Original
10048,1,Original
10049,NULL,NULL
10050,1,Original
10051,NULL,NULL
10052,NULL,NULL
10053,NULL,NULL
10054,NULL,NULL
10055,NULL,NULL
10056,NULL,NULL
10057,NULL,NULL
10058,NULL,NULL
10059,NULL,NULL
10060,NULL,NULL
10061,8,Other
10062,8,Other
10063,1,Original
10064,1,Original
10065,5,Visualnovel
10066,5,Visualnovel
10067,NULL,NULL
10068,NULL,NULL
10069,NULL,NULL
10070,2,Manga
10071,NULL,NULL
10072,2,Manga
10073,2,Manga
10074,1,Original
10075,NULL,NULL
10076,NULL,NULL
10077,1,Original
10078,1,Original
10079,1,Original
10080,1,Original
10081,NULL,NULL
10082,NULL,NULL
10083,NULL,NULL
10084,1,Original
10085,NULL,NULL
10086,1,Original
10087,1,Original
10088,NULL,NULL
10089,1,Original
10090,1,Original
10091,NULL,NULL
10092,1,Original
10093,NULL,NULL
10094,1,Original
10095,1,Original
10096,1,Original
10097,NULL,NULL
10098,NULL,NULL
10099,NULL,NULL
10100,1,Original
10101,1,Original
10102,NULL,NULL
10103,1,Original
10104,NULL,NULL
10105,1,Original
10106,2,Manga
10107,5,Visualnovel
10108,NULL,NULL
10109,NULL,NULL
10110,NULL,NULL
10111,NULL,NULL
10112,NULL,NULL
10113,NULL,NULL
10114,NULL,NULL
10115,10,Webmanga
10116,NULL,NULL
10117,NULL,NULL
