anime_id,rating,rating_description
11735,Rx,Hentai
11736,PG13,"Teens 13 or older"
11737,R+,"Mild Nudity"
11738,G,"All Ages"
11739,PG13,"Teens 13 or older"
11740,PG13,"Teens 13 or older"
11741,G,"All Ages"
11742,PG13,"Teens 13 or older"
11743,PG13,"Teens 13 or older"
11744,PG13,"Teens 13 or older"
11745,Rx,Hentai
11746,R17+,"violence & profanity"
11747,PG13,"Teens 13 or older"
11748,PG13,"Teens 13 or older"
11749,PG13,"Teens 13 or older"
11750,PG13,"Teens 13 or older"
11751,G,"All Ages"
11752,PG13,"Teens 13 or older"
11753,Rx,Hentai
11754,G,"All Ages"
11755,PG13,"Teens 13 or older"
11756,G,"All Ages"
11757,R+,"Mild Nudity"
11758,G,"All Ages"
11759,G,"All Ages"
11760,PG13,"Teens 13 or older"
11761,G,"All Ages"
11762,PG13,"Teens 13 or older"
11763,R17+,"violence & profanity"
11764,G,"All Ages"
11765,NULL,NULL
11766,PG13,"Teens 13 or older"
11767,R17+,"violence & profanity"
11768,G,"All Ages"
11769,PG13,"Teens 13 or older"
11770,PG13,"Teens 13 or older"
11771,PG13,"Teens 13 or older"
11772,PG13,"Teens 13 or older"
11773,R17+,"violence & profanity"
11774,G,"All Ages"
11775,G,"All Ages"
11776,PG13,"Teens 13 or older"
11777,PG13,"Teens 13 or older"
11778,PG13,"Teens 13 or older"
11779,G,"All Ages"
11780,PG13,"Teens 13 or older"
11781,PG13,"Teens 13 or older"
11782,PG13,"Teens 13 or older"
11783,PG,Children
11784,G,"All Ages"
11785,G,"All Ages"
11786,PG13,"Teens 13 or older"
11787,PG13,"Teens 13 or older"
11788,R+,"Mild Nudity"
11789,R17+,"violence & profanity"
11790,PG13,"Teens 13 or older"
11791,PG13,"Teens 13 or older"
11792,PG13,"Teens 13 or older"
11793,PG13,"Teens 13 or older"
11794,Rx,Hentai
11795,R+,"Mild Nudity"
11796,PG,Children
11797,PG13,"Teens 13 or older"
11798,PG13,"Teens 13 or older"
11799,PG13,"Teens 13 or older"
11800,PG13,"Teens 13 or older"
11801,G,"All Ages"
11802,G,"All Ages"
11803,PG13,"Teens 13 or older"
11804,PG13,"Teens 13 or older"
11805,PG13,"Teens 13 or older"
11806,G,"All Ages"
11807,PG13,"Teens 13 or older"
11808,R17+,"violence & profanity"
11809,R17+,"violence & profanity"
11810,PG13,"Teens 13 or older"
11811,PG13,"Teens 13 or older"
11812,PG,Children
11813,R17+,"violence & profanity"
11814,PG13,"Teens 13 or older"
11815,NULL,NULL
11816,PG13,"Teens 13 or older"
11817,PG13,"Teens 13 or older"
11818,G,"All Ages"
11819,PG,Children
11820,PG,Children
11821,PG13,"Teens 13 or older"
11822,PG13,"Teens 13 or older"
11823,PG13,"Teens 13 or older"
11824,PG,Children
11825,PG,Children
11826,R+,"Mild Nudity"
11827,R+,"Mild Nudity"
11828,PG13,"Teens 13 or older"
11829,Rx,Hentai
11830,PG13,"Teens 13 or older"
11831,PG13,"Teens 13 or older"
11832,G,"All Ages"
11833,PG13,"Teens 13 or older"
11834,R17+,"violence & profanity"
11835,PG13,"Teens 13 or older"
11836,PG13,"Teens 13 or older"
11837,G,"All Ages"
11838,G,"All Ages"
11839,PG,Children
11840,G,"All Ages"
11841,G,"All Ages"
11842,G,"All Ages"
11843,Rx,Hentai
11844,PG13,"Teens 13 or older"
11845,PG13,"Teens 13 or older"
11846,G,"All Ages"
11847,G,"All Ages"
11848,PG13,"Teens 13 or older"
11849,PG13,"Teens 13 or older"
11850,PG13,"Teens 13 or older"
11851,PG,Children
11852,G,"All Ages"
11853,G,"All Ages"
11854,G,"All Ages"
11855,R17+,"violence & profanity"
11856,G,"All Ages"
11857,PG13,"Teens 13 or older"
11858,PG13,"Teens 13 or older"
11859,PG,Children
11860,PG13,"Teens 13 or older"
11861,G,"All Ages"
11862,PG13,"Teens 13 or older"
11863,PG13,"Teens 13 or older"
11864,PG13,"Teens 13 or older"
11865,PG13,"Teens 13 or older"
11866,G,"All Ages"
11867,PG13,"Teens 13 or older"
11868,PG13,"Teens 13 or older"
11869,PG13,"Teens 13 or older"
11870,PG13,"Teens 13 or older"
11871,NULL,NULL
11872,PG,Children
11873,NULL,NULL
11874,G,"All Ages"
11875,NULL,NULL
11876,G,"All Ages"
11877,PG13,"Teens 13 or older"
11878,Rx,Hentai
11879,PG13,"Teens 13 or older"
11880,R17+,"violence & profanity"
11881,NULL,NULL
11882,PG13,"Teens 13 or older"
11883,PG,Children
11884,PG13,"Teens 13 or older"
11885,PG,Children
11886,PG13,"Teens 13 or older"
11887,PG,Children
11888,G,"All Ages"
11889,R17+,"violence & profanity"
11890,G,"All Ages"
11891,G,"All Ages"
11892,G,"All Ages"
11893,PG,Children
11894,R17+,"violence & profanity"
11895,PG,Children
11896,R17+,"violence & profanity"
11897,PG,Children
11898,PG13,"Teens 13 or older"
11899,PG13,"Teens 13 or older"
11900,G,"All Ages"
11901,PG13,"Teens 13 or older"
11902,G,"All Ages"
11903,PG13,"Teens 13 or older"
11904,PG13,"Teens 13 or older"
11905,PG13,"Teens 13 or older"
11906,PG,Children
11907,G,"All Ages"
11908,G,"All Ages"
11909,PG13,"Teens 13 or older"
11910,PG13,"Teens 13 or older"
11911,G,"All Ages"
11912,G,"All Ages"
11913,G,"All Ages"
11914,G,"All Ages"
11915,PG13,"Teens 13 or older"
11916,PG13,"Teens 13 or older"
11917,G,"All Ages"
11918,PG,Children
11919,PG,Children
11920,PG13,"Teens 13 or older"
11921,G,"All Ages"
11922,G,"All Ages"
11923,G,"All Ages"
11924,G,"All Ages"
11925,PG13,"Teens 13 or older"
11926,Rx,Hentai
11927,PG13,"Teens 13 or older"
11928,R17+,"violence & profanity"
11929,PG13,"Teens 13 or older"
11930,G,"All Ages"
11931,PG13,"Teens 13 or older"
11932,Rx,Hentai
11933,Rx,Hentai
11934,R17+,"violence & profanity"
11935,R17+,"violence & profanity"
11936,PG13,"Teens 13 or older"
11937,G,"All Ages"
11938,PG13,"Teens 13 or older"
11939,G,"All Ages"
11940,G,"All Ages"
11941,G,"All Ages"
11942,G,"All Ages"
11943,G,"All Ages"
11944,PG13,"Teens 13 or older"
11945,PG13,"Teens 13 or older"
11946,G,"All Ages"
11947,G,"All Ages"
11948,G,"All Ages"
11949,G,"All Ages"
11950,G,"All Ages"
11951,PG13,"Teens 13 or older"
11952,PG13,"Teens 13 or older"
11953,PG13,"Teens 13 or older"
11954,PG,Children
11955,G,"All Ages"
11956,G,"All Ages"
11957,G,"All Ages"
11958,G,"All Ages"
11959,PG,Children
11960,G,"All Ages"
11961,G,"All Ages"
11962,G,"All Ages"
11963,G,"All Ages"
11964,G,"All Ages"
11965,G,"All Ages"
11966,PG13,"Teens 13 or older"
11967,PG13,"Teens 13 or older"
11968,PG13,"Teens 13 or older"
11969,R17+,"violence & profanity"
11970,PG13,"Teens 13 or older"
11971,PG13,"Teens 13 or older"
11972,PG13,"Teens 13 or older"
11973,PG13,"Teens 13 or older"
11974,PG13,"Teens 13 or older"
11975,G,"All Ages"
11976,G,"All Ages"
11977,PG13,"Teens 13 or older"
11978,PG,Children
11979,Rx,Hentai
11980,PG13,"Teens 13 or older"
11981,PG13,"Teens 13 or older"
11982,PG13,"Teens 13 or older"
11983,PG13,"Teens 13 or older"
11984,PG13,"Teens 13 or older"
11985,PG13,"Teens 13 or older"
11986,PG13,"Teens 13 or older"
11987,PG13,"Teens 13 or older"
11988,PG13,"Teens 13 or older"
11989,PG,Children
