anime_id,source
1479,Original
1480,Manga
1481,Manga
1482,Original
1483,Original
1484,"Visual novel"
1485,"Visual novel"
1486,"Visual novel"
1487,"Visual novel"
1488,"Visual novel"
1489,Manga
1490,Book
1491,Original
1492,"Visual novel"
1493,Manga
1494,Manga
1495,Original
1496,Original
1497,NULL
1498,Manga
1499,Manga
1500,Original
1501,Original
1502,Original
1503,Manga
1504,Original
1505,NULL
1506,Original
1507,Manga
1508,Original
1509,Manga
1510,Manga
1511,Manga
1512,Book
1513,Manga
1514,NULL
1515,NULL
1516,Manga
1517,Manga
1518,Manga
1519,Manga
1520,Novel
1521,Game
1522,NULL
1523,Manga
1524,NULL
1525,Game
1526,Game
1527,Manga
1528,NULL
1529,Novel
1530,"Visual novel"
1531,NULL
1532,Original
1533,Manga
1534,Manga
1535,"Visual novel"
1536,Original
1537,Manga
1538,"Light novel"
1539,"Visual novel"
1540,NULL
1541,Original
1542,Novel
1543,Manga
1544,Manga
1545,Book
1546,Manga
1547,"Visual novel"
1548,NULL
1549,Manga
1550,Manga
1551,Manga
1552,Manga
1553,Manga
1554,Game
1555,Game
1556,NULL
1557,Manga
1558,Manga
1559,NULL
1560,Manga
1561,"Visual novel"
1562,Manga
1563,Manga
1564,"Visual novel"
1565,Original
1566,"Visual novel"
1567,Game
1568,"Visual novel"
1569,Manga
1570,"Light novel"
1571,Game
1572,Manga
1573,Original
1574,Original
1575,Manga
1576,Manga
1577,NULL
1578,Manga
1579,NULL
1580,Manga
1581,Original
1582,Novel
1583,NULL
1584,Manga
1585,Manga
1586,NULL
1587,Original
1588,NULL
1589,NULL
1590,NULL
1591,Game
1592,NULL
1593,NULL
1594,NULL
1595,NULL
1596,NULL
1597,NULL
1598,NULL
1599,NULL
1600,Manga
1601,Manga
1602,"Light novel"
1603,Manga
1604,Manga
1605,Novel
1606,"Light novel"
1607,NULL
1608,Other
1609,Original
1610,"Visual novel"
1611,Manga
1612,NULL
1613,NULL
1614,Original
1615,Manga
1616,NULL
1617,"Light novel"
1618,Other
1619,Original
1620,"Visual novel"
1621,Original
1622,"Visual novel"
1623,"Visual novel"
1624,NULL
1625,NULL
1626,NULL
1627,"Visual novel"
1628,"Visual novel"
1629,Original
1630,NULL
1631,"Visual novel"
1632,Original
1633,"Light novel"
1634,"Light novel"
1635,"Light novel"
1636,"Light novel"
1637,NULL
1638,NULL
1639,Game
1640,Game
1641,"Light novel"
1642,"Light novel"
1643,Manga
1644,Manga
1645,Manga
1646,"Visual novel"
1647,Manga
1648,Manga
1649,Original
1650,Original
1651,Manga
1652,"Light novel"
1653,Game
1654,Manga
1655,Manga
1656,NULL
1657,Game
1658,"Visual novel"
1659,Novel
1660,NULL
1661,Manga
1662,Manga
1663,Book
1664,Novel
1665,NULL
1666,Novel
1667,NULL
1668,Original
1669,Manga
1670,Manga
1671,"Visual novel"
1672,Game
1673,"Visual novel"
1674,"Light novel"
1675,Manga
1676,NULL
1677,"Light novel"
1678,Manga
1679,Manga
1680,Original
1681,Manga
1682,NULL
1683,Original
1684,Manga
1685,Manga
1686,NULL
1687,NULL
1688,NULL
1689,"4-koma manga"
1690,NULL
1691,Game
1692,Manga
1693,"Visual novel"
1694,Manga
1695,Original
1696,Manga
1697,Game
1698,Manga
1699,Original
1700,NULL
1701,Game
1702,Other
1703,NULL
1704,NULL
1705,Original
1706,Manga
1707,Game
1708,Manga
1709,Original
