anime_id,duration
1119,"24 min. per ep."
1120,"50 min. per ep."
1121,"27 min. per ep."
1122,"23 min. per ep."
1123,"25 min. per ep."
1124,"30 min. per ep."
1125,"28 min. per ep."
1126,"25 min."
1127,"1 min. per ep."
1128,"25 min. per ep."
1129,"46 min."
1130,"45 min."
1131,"24 min. per ep."
1132,"1 hr."
1133,"47 min."
1134,"24 min. per ep."
1135,"43 min. per ep."
1136,"50 min."
1137,"24 min. per ep."
1138,"45 min. per ep."
1139,"55 min."
1140,"24 min. per ep."
1141,"24 min. per ep."
1142,"25 min. per ep."
1143,"1 hr. 27 min."
1144,"25 min. per ep."
1145,"24 min. per ep."
1146,"1 hr. 15 min."
1147,"45 min."
1148,"25 min. per ep."
1149,"45 min."
1150,"1 hr. 20 min."
1151,"45 min."
1152,"24 min. per ep."
1153,"24 min. per ep."
1154,"30 min. per ep."
1155,"23 min. per ep."
1156,"25 min. per ep."
1157,"30 min. per ep."
1158,"30 min. per ep."
1159,"1 hr."
1160,"58 min."
1161,"48 min."
1162,"39 min. per ep."
1163,"45 min. per ep."
1164,"30 min. per ep."
1165,"30 min. per ep."
1166,"28 min. per ep."
1167,"26 min. per ep."
1168,"30 min. per ep."
1169,"15 min."
1170,"27 min. per ep."
1171,"36 min. per ep."
1172,"24 min. per ep."
1173,"29 min. per ep."
1174,"30 min. per ep."
1175,"47 min."
1176,"48 min."
1177,"2 hr. 19 min."
1178,"30 min. per ep."
1179,"25 min. per ep."
