anime_id,rating_id,rating,rating_description
6481,2,PG13,"Teens 13 or older"
6482,2,PG13,"Teens 13 or older"
6483,4,R+,"Mild Nudity"
6484,2,PG13,"Teens 13 or older"
6485,3,PG,Children
6486,3,PG,Children
6487,2,PG13,"Teens 13 or older"
6488,2,PG13,"Teens 13 or older"
6489,2,PG13,"Teens 13 or older"
6490,1,R17+,"violence & profanity"
6491,2,PG13,"Teens 13 or older"
6492,2,PG13,"Teens 13 or older"
6493,2,PG13,"Teens 13 or older"
6494,6,Rx,Hentai
6495,4,R+,"Mild Nudity"
6496,5,G,"All Ages"
6497,2,PG13,"Teens 13 or older"
6498,6,Rx,Hentai
6499,5,G,"All Ages"
6500,NULL,NULL,NULL
6501,3,PG,Children
6502,4,R+,"Mild Nudity"
6503,3,PG,Children
6504,2,PG13,"Teens 13 or older"
6505,2,PG13,"Teens 13 or older"
6506,2,PG13,"Teens 13 or older"
6507,2,PG13,"Teens 13 or older"
6508,2,PG13,"Teens 13 or older"
6509,1,R17+,"violence & profanity"
6510,NULL,NULL,NULL
6511,4,R+,"Mild Nudity"
6512,2,PG13,"Teens 13 or older"
6513,5,G,"All Ages"
6514,3,PG,Children
6515,2,PG13,"Teens 13 or older"
6516,3,PG,Children
6517,2,PG13,"Teens 13 or older"
6518,3,PG,Children
6519,NULL,NULL,NULL
6520,4,R+,"Mild Nudity"
6521,2,PG13,"Teens 13 or older"
6522,6,Rx,Hentai
6523,2,PG13,"Teens 13 or older"
6524,2,PG13,"Teens 13 or older"
6525,6,Rx,Hentai
6526,5,G,"All Ages"
6527,3,PG,Children
6528,2,PG13,"Teens 13 or older"
6529,2,PG13,"Teens 13 or older"
6530,2,PG13,"Teens 13 or older"
6531,3,PG,Children
6532,5,G,"All Ages"
6533,5,G,"All Ages"
6534,1,R17+,"violence & profanity"
6535,3,PG,Children
6536,2,PG13,"Teens 13 or older"
6537,1,R17+,"violence & profanity"
6538,2,PG13,"Teens 13 or older"
6539,5,G,"All Ages"
6540,3,PG,Children
6541,6,Rx,Hentai
6542,6,Rx,Hentai
6543,6,Rx,Hentai
6544,2,PG13,"Teens 13 or older"
6545,2,PG13,"Teens 13 or older"
6546,5,G,"All Ages"
6547,2,PG13,"Teens 13 or older"
6548,3,PG,Children
6549,4,R+,"Mild Nudity"
6550,2,PG13,"Teens 13 or older"
6551,2,PG13,"Teens 13 or older"
6552,5,G,"All Ages"
6553,3,PG,Children
6554,6,Rx,Hentai
6555,3,PG,Children
6556,1,R17+,"violence & profanity"
6557,5,G,"All Ages"
6558,5,G,"All Ages"
6559,5,G,"All Ages"
6560,2,PG13,"Teens 13 or older"
6561,2,PG13,"Teens 13 or older"
6562,2,PG13,"Teens 13 or older"
6563,2,PG13,"Teens 13 or older"
6564,5,G,"All Ages"
6565,5,G,"All Ages"
6566,2,PG13,"Teens 13 or older"
6567,5,G,"All Ages"
6568,2,PG13,"Teens 13 or older"
6569,5,G,"All Ages"
6570,5,G,"All Ages"
6571,3,PG,Children
6572,1,R17+,"violence & profanity"
6573,2,PG13,"Teens 13 or older"
6574,2,PG13,"Teens 13 or older"
6575,2,PG13,"Teens 13 or older"
6576,4,R+,"Mild Nudity"
6577,5,G,"All Ages"
6578,2,PG13,"Teens 13 or older"
6579,2,PG13,"Teens 13 or older"
6580,2,PG13,"Teens 13 or older"
6581,2,PG13,"Teens 13 or older"
6582,2,PG13,"Teens 13 or older"
6583,2,PG13,"Teens 13 or older"
6584,5,G,"All Ages"
6585,1,R17+,"violence & profanity"
6586,5,G,"All Ages"
6587,5,G,"All Ages"
6588,1,R17+,"violence & profanity"
6589,2,PG13,"Teens 13 or older"
6590,1,R17+,"violence & profanity"
6591,5,G,"All Ages"
6592,5,G,"All Ages"
6593,2,PG13,"Teens 13 or older"
6594,2,PG13,"Teens 13 or older"
6595,1,R17+,"violence & profanity"
6596,1,R17+,"violence & profanity"
6597,1,R17+,"violence & profanity"
6598,5,G,"All Ages"
6599,5,G,"All Ages"
6600,2,PG13,"Teens 13 or older"
6601,5,G,"All Ages"
6602,2,PG13,"Teens 13 or older"
6603,5,G,"All Ages"
6604,5,G,"All Ages"
6605,5,G,"All Ages"
6606,2,PG13,"Teens 13 or older"
6607,2,PG13,"Teens 13 or older"
6608,1,R17+,"violence & profanity"
6609,1,R17+,"violence & profanity"
6610,6,Rx,Hentai
6611,6,Rx,Hentai
6612,6,Rx,Hentai
6613,2,PG13,"Teens 13 or older"
6614,2,PG13,"Teens 13 or older"
6615,2,PG13,"Teens 13 or older"
6616,2,PG13,"Teens 13 or older"
6617,2,PG13,"Teens 13 or older"
6618,4,R+,"Mild Nudity"
6619,2,PG13,"Teens 13 or older"
