anime_id,score_10,score_9,score_8,score_7,score_6,score_5,score_4,score_3,score_2,score_1
12853,13,7,7,22,14,13,6,4,0,4
12854,5,1,0,3,0,0,0,0,0,1
12855,3,0,0,1,9,7,6,1,1,2
12856,6,0,0,2,5,9,8,3,4,7
12857,177,120,262,527,532,254,170,85,49,43
12858,128,62,166,268,168,79,36,28,23,24
12859,0,0,0,0,0,0,0,0,0,0
12860,15,2,4,14,19,17,5,5,10,8
12861,5,3,1,2,3,7,4,2,1,3
12862,10,2,9,18,23,32,8,6,10,16
12863,4,1,1,1,6,12,11,6,3,11
12864,5,0,0,3,7,12,11,2,10,10
12865,12,0,0,2,10,14,8,2,4,6
12866,4,1,0,3,9,15,14,11,4,18
12867,2821,3046,6903,10577,5338,2105,518,208,93,82
12868,4,0,1,3,1,2,1,0,3,1
12869,3,0,4,0,2,2,1,1,0,3
12870,3,0,1,1,1,1,2,2,0,3
12871,5,0,0,2,0,3,0,1,0,6
12872,20,5,1,2,3,1,0,0,0,2
12873,3,0,0,2,2,1,0,0,0,1
12874,3,0,0,1,1,1,1,1,1,1
12875,3,0,0,2,1,1,0,0,0,1
12876,3,0,0,2,1,0,0,0,0,2
12877,7,2,8,10,24,38,36,24,12,17
12878,122,6,10,22,17,15,3,4,1,6
12879,1015,1131,2440,3407,1807,826,202,93,31,38
12880,7,1,5,0,6,3,1,0,1,3
12881,9,0,0,3,0,1,0,0,1,2
12882,4,0,0,3,0,1,0,0,0,4
12883,3,0,0,1,1,2,0,2,1,5
12884,5,0,1,2,1,4,2,8,2,6
12885,4,0,0,3,2,1,0,0,0,3
12886,3,0,0,1,1,3,0,0,1,2
12887,3,0,0,2,2,1,0,0,0,3
12888,5,0,1,2,1,0,0,1,0,4
12889,4,0,0,1,2,0,0,0,1,2
12890,3,0,2,2,2,4,1,1,0,3
12891,9,0,0,2,4,1,1,1,1,4
12892,6,0,5,1,2,7,2,3,0,6
12893,3,0,4,1,3,2,0,1,0,1
12894,4,0,0,2,3,1,0,0,0,4
12895,3,0,0,2,0,1,1,0,0,3
12896,3,0,1,0,5,2,2,0,0,2
12897,5,0,2,2,8,5,1,0,0,4
12898,171,83,229,375,468,320,181,90,71,80
12899,52442,42572,23376,8143,2371,934,326,165,90,799
12900,203,195,359,647,552,237,90,53,11,29
12901,84,173,528,1071,923,710,358,178,88,78
12902,878,718,1565,1798,731,250,61,33,12,34
12903,2147,2463,4693,4441,1512,610,131,54,26,59
12904,119,54,161,318,362,281,135,114,89,138
12905,14139,14762,27814,44750,35911,24934,16883,11333,8489,8955
12906,118,66,203,367,258,162,65,49,17,16
12907,4,0,0,1,8,7,3,0,1,2
12908,45,61,111,187,138,71,30,18,6,4
12909,0,0,0,0,0,0,0,0,0,0
12910,0,0,0,0,0,0,0,0,0,0
12911,7,0,0,2,2,4,5,3,3,10
12912,0,0,0,0,0,0,0,0,0,0
12913,8,2,12,16,11,11,2,1,1,5
12914,8,1,2,7,18,34,8,4,7,8
12915,1410,2195,4792,6856,3769,2010,731,242,116,109
12916,11261,13936,25802,21662,7480,2825,655,244,113,114
12917,65,41,123,332,561,653,470,320,241,150
12918,4,5,0,1,4,6,2,8,5,16
12919,5,0,0,1,2,4,1,6,3,11
12920,160,227,421,703,410,194,104,41,26,20
12921,4,0,0,1,1,3,4,1,0,6
12922,18,5,18,32,52,40,21,12,6,9
12923,48,43,136,262,210,105,49,20,15,12
12924,3,0,0,2,1,7,3,1,0,8
12925,4,0,0,1,3,7,1,0,3,4
12926,62,65,145,253,246,142,57,40,23,11
12927,1476,1066,2505,5524,5126,2810,1017,540,361,243
12928,83,63,142,274,321,216,111,66,38,36
